,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
0,Asus ROG Phone 9 Pro,True,True,True,True,"2024, November 19","Available. Released 2024, November 20",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),227 g (8.01 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min)__Mini-LED (648 dots) programmable matrix (on the back)__Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass Victus 2,Always-On display,"Android 15, up to 2 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"512GB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom__13 MP, f/2.2, 13mm, 120˚ (ultrawide)","LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5800 mAh,"65W wired, PD3.0, PPS, QC5, 100% in 46 min__15W wireless (Qi)__10W reverse wired",,Phantom Black,,,,About 1300 EUR,__AnTuTu: 3042971 (v10)__GeekBench: 10179 (v6)__3DMark: 6718 (Wild Life Extreme),,"483,045 hits",4.5
1,Asus ROG Phone 9,True,True,True,True,"2024, November 19","Available. Released 2024, November 20",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),227 g (8.01 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min)__Mini-LED (85 dots) programmable matrix (on the back)__Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass Victus 2,Always-On display,"Android 15, up to 2 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"256GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__13 MP, f/2.2, 13mm, 120˚ (ultrawide)__5 MP, f/2.4, (macro)","LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5800 mAh,"65W wired, PD3.0, PPS, QC5, 100% in 46 min__15W wireless (Qi)__10W reverse wired",,"Phantom Black, Storm White",,,,About 1100 EUR,__AnTuTu: 3007932 (v10)__GeekBench: 10083 (v6)__3DMark: 6718 (Wild Life Extreme),,"123,824 hits",4.5
2,Asus Zenfone 11 Ultra,True,True,True,True,"2024, March 14","Available. Released 2024, April 14",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),224 g (7.90 oz),"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back",Nano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 144Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass Victus 2,Always-on display,"Android 14, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__32 MP, f/2.4, 65mm (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom__13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS",Yes,No,USB Type-C,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500 mAh,"65W wired, PD3.0, PPS, QC5, 100% in 39 min__15W wireless (Qi)__10W reverse wired",,"Eternal Black, Skyline Blue, Misty Gray, Desert Sand","AI2401, ASUS_AI2401_H",,,€ 799.99 / $ 699.99 / £ 636.96,"__AnTuTu: 1640547 (v9), 2147516 __(v10)__GeekBench: 5699 (v5), 7085 (v6)__3DMark: 5246 (Wild Life Extreme)",,"1,074,273 hits",4.4
3,Asus ROG Phone 8 Pro,True,True,True,True,"2024, January 08","Available. Released 2024, January 18",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225 g (7.94 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",Nano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min)__341 Mini-LED programmable matrix (on the back)__Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass Victus 2,Always-On display,"Android 14, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"512GB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom__13 MP, f/2.2, 13mm, 120˚ (ultrawide)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500 mAh,"65W wired, PD3.0, PPS, QC5, 100% in 39 min - International__30W wired, PD3.0, PPS - India__15W wireless (Qi)__10W reverse wired",,Phantom Black,"AI2401, AI2401_A",,,"€ 1,199.00 / $ 929.99","__AnTuTu: 1639368 (v9), 2167612 (v10)__GeekBench: 6542 (v5), 7178 (v6)__GFXBench: 163fps (offscreen 1080p)",,"1,756,444 hits",4.6
4,Asus ROG Phone 8,True,True,True,True,"2024, January 08","Available. Released 2024, January 18",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225 g (7.94 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",Nano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min)__Illuminated RGB logo (on the back)__Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass Victus 2,Always-On display,"Android 14, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 256GB 16GB RAM","- International model -__50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom__13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm___- SEA/China/India model -__50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm__5 MP, f/2.4, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500 mAh,"65W wired, PD3.0, PPS, QC5, 100% in 39 min - International__30W wired, PD3.0, PPS - India__15W wireless (Qi)__10W reverse wired",,"Phantom Black, Rebel Grey","AI2401, AI2401_A",,,€ 979.99 / $ 749.99 / £ 883.32,,,"861,254 hits",4.6
5,Asus Zenfone 10,True,True,True,True,"2023, June 29","Available. Released 2023, July 10",146.5 x 68.1 x 9.4 mm (5.77 x 2.68 x 0.37 in),172 g (6.07 oz),"Glass front, aluminum frame, plastic back",Nano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min),"Super AMOLED, 144Hz, HDR10+, 800 nits (HBM), 1100 nits (peak)","5.92 inches, 84.6 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~445 ppi density)",Corning Gorilla Glass Victus,Always-on display__*144Hz only available in supported games,"Android 13, up to 2 major Android upgrades",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, gimbal OIS__13 MP, f/2.2, 120° (ultrawide), 1/3.06"", 1.12µm","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60fps; gyro-EIS, HDR","32 MP, f/2.5, (wide), 1/3.2"", 0.7µm",,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), GLONASS (L1), BDS (B1I+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Li-Po 4300 mAh,"30W wired, PD3.0, PPS, QC4__15W wireless__5W reverse wired",,"Starry Blue, Midnight Black, Aurora Green, Eclipse Red, Comet White",AI2302,,,€ 669.00 / $ 698.00 / £ 609.00,"__AnTuTu: 1314458 (v9), 1583804 (v10)__GeekBench: 5149 (v5.5), 5698 (v6.0)__GFXBench: 115fps (ES 3.1 onscreen)",Endurance rating 109h,"2,518,465 hits",4.3
6,Asus ROG Phone 7 Ultimate,True,True,True,True,"2023, April 13","Available. Released 2023, May",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,"Built-in motorized cooling air vent (AeroActive Portal)__IP54, dust and splash resistant__2"" OLED display (on the back)__Pressure sensitive zones (Gaming triggers)","AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)","6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,,"Android 13, up to 2 major Android upgrades",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,512GB 16GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF__13 MP, f/2.2, 13mm, 120˚ (ultrawide)__5 MP, f/2.0, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 29mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers (2 amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 3.1 (side), DisplayPort 1.4; USB Type-C 2.0 (bottom), OTG, accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 6000 mAh,"65W wired, PD3.0, QC5, 100% in 42 min__10W reverse wired",,Storm White,,,,$ 733.51,"__AnTuTu: 1325105 (v9)__GeekBench: 5139 (v5.5), 5567 (v6)__GFXBench: 107fps (ES 3.1 onscreen)",Endurance rating 131h,"1,256,055 hits",4.6
7,Asus ROG Phone 7,True,True,True,True,"2023, April 13","Available. Released 2023, May",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,"IP54, dust and splash resistant__Illuminated RGB logo (on the back)__Pressure sensitive zones (Gaming triggers)","AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)","6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,,"Android 13, up to 2 major Android upgrades",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF__13 MP, f/2.2, 13mm, 120˚ (ultrawide)__5 MP, f/2.0, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 29mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers (2 amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), GLONASS (L1), BDS (B1I+B2a+B2c), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 3.1 (side), DisplayPort 1.4; USB Type-C 2.0 (bottom), OTG, accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 6000 mAh,"65W wired, PD3.0, QC5, 100% in 42 min__10W reverse wired",,"Phantom Black, Storm White",AI2205_C,,,€ 533.04 / $ 949.00 / £ 979.99,"__AnTuTu: 1333597 (v9)__GeekBench: 5098 (v5.5), 5617 (v6) __GFXBench: 108fps (ES 3.1 onscreen)",Endurance rating 131h,"1,425,817 hits",4.6
8,Asus ROG Phone 6D Ultimate,True,True,True,True,"2022, September 19","Available. Released 2022, October 07",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),247 g (8.71 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,"Built-in motorized cooling air vent (AeroActive Portal)__IPX4 water resistant__2"" OLED display (on the back)__Pressure sensitive zones (Gaming triggers)","AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,,Android 12,Mediatek Dimensity 9000+ (4 nm),Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,512GB 16GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF__13 MP, f/2.2, 13mm (ultrawide)__5 MP, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","12 MP, 28mm (wide)","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers (2 amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1), NavIC (L5)",Yes,No,"USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), OTG, accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 6000 mAh,"65W wired, PD3.0__10W reverse wired",,Space Gray,"AI2203, AI2203-3E010EU",,,About 1100 EUR,__AnTuTu: 1107464 (v9)__GeekBench: 4575 (v5.1)__GFXBench: 68fps (ES 3.1 onscreen),Endurance rating 103h,"754,682 hits",4.6
9,Asus ROG Phone 6D,True,True,True,True,"2022, September 19","Available. Released 2022, October 11",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,IPX4 water resistant__Illuminated RGB logo (on the back)__Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,,Android 12,Mediatek Dimensity 9000+ (4 nm),Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"256GB 12GB RAM, 256GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF__13 MP, f/2.2, 13mm (ultrawide)__5 MP, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","12 MP, 28mm (wide)","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers (2 amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1), NavIC (L5)",Yes,No,"USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), OTG, accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 6000 mAh,"65W wired, PD3.0__10W reverse wired",,Space Gray,"AI2203, AI2203_D",,,About 690 EUR,,,"433,333 hits",
10,Asus ROG Phone 6 Diablo Immortal Edition,True,True,True,True,"2022, November 17","Available. Released 2022, November 18",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,IPX4 water resistant__Illuminated RGB logo (on the back)__Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,,Android 12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,512GB 16GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF__13 MP, f/2.2, 13mm (ultrawide)__5 MP, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 4K@120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","12 MP, 28mm (wide)","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers (2 amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), OTG, accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 6000 mAh,"65W wired, PD3.0, QC5__10W reverse wired",,Hellfire Red,,,,About 860 EUR,,,"234,431 hits",
11,Asus ROG Phone 6 Batman Edition,True,True,True,True,"2022, September 19","Available. Released 2022, October 10",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,IPX4 water resistant__Illuminated RGB logo (on the back)__Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,,Android 12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) - USAMediatek Dimensity 9000+ (4 nm) - International,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730Mali-G710 MC10,No,256GB 12GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF__13 MP, f/2.2, 13mm (ultrawide)__5 MP, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 4K@120fps (Snapdragon model), 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","12 MP, 28mm (wide)","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers (2 amplifiers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive - Snapdragon model5.3, A2DP, LE - MediaTek model","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), OTG, accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 6000 mAh,"65W wired, PD3.0, QC5 (Snapdragon model)__10W reverse wired",,Night Black,AI2203_C,,,About 1500 EUR,,,"256,727 hits",
