,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
44,Apple iPhone 12,True,True,True,True,"2020, October 13","Available. Released 2020, October 23",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),164 g (5.78 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM (China),"IP68 dust/water resistant (up to 6m for 30 min)__Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 625 nits (HBM), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,,"iOS 14.1, upgradable to iOS 18.2",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS__12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.6""","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6""__SL 3D, (depth/biometrics sensor)",HDR,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer",Li-Ion 2815 mAh (10.78 Wh),"Wired, PD2.0, 50% in 30 min (advertised)__15W wireless (MagSafe)__15W wireless (Qi2) - requires iOS 17.4 update",,"Black, White, Red, Green, Blue, Purple","A2403, A2172, A2402, A2404, iPhone13,2",,0.99 W/kg (head) 0.99 W/kg (body) ,€ 312.00 / $ 244.39 / £ 197.99,__AnTuTu: 568674 (v8)__GeekBench: 4067 (v5.1)__GFXBench: 58fps (ES 3.1 onscreen),Endurance rating 84h,"18,415,078 hits",4.2
0,Google Pixel 5,True,True,True,True,"2020, September 30","Available. Released 2020, October 15",144.7 x 70.4 x 8 mm (5.70 x 2.77 x 0.31 in),151 g (5.33 oz),"Glass front (Gorilla Glass 6), aluminum back, aluminum frame",Nano-SIM + eSIM,IP68 dust/water resistant (up to 1.5m for 30 min),"OLED, 90Hz, HDR10+","6.0 inches, 87.6 cm2 (~85.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~432 ppi density)",Corning Gorilla Glass 6,Always-on display,"Android 11, upgradable to Android 14",Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,128GB 8GB RAM,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS__16 MP, f/2.2, 117˚ (ultrawide), 1.0µm","LED flash, Pixel Shift, Auto-HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, QZSS, BDS",Yes,No,USB Type-C 3.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Li-Po 4080 mAh,"18W wired, PD2.0__12W wireless__5W reverse wired",,"Just Black, Sorta Sage","GD1YQ, GTT9Q, G5NZ6",,,€ 180.99 / $ 138.29 / £ 99.99,,Endurance rating 95h,"9,238,603 hits",4.1
1,OnePlus 9,True,True,True,True,"2021, March 23","Available. Released 2021, March 26",160 x 74.2 x 8.7 mm (EU/NA)160 x 73.9 x 8.1 mm (IN/CN),192 g (EU/NA)183 g (IN/CN) (6.46 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",Nano-SIMNano-SIM + Nano-SIM,IP68 (T-Mobile version only),"Fluid AMOLED, 120Hz, HDR10+, 1100 nits (peak)","6.55 inches, 103.6 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 11, upgradable to Android 13, OxygenOS 13",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF__50 MP, f/2.2, 14mm (ultrawide), 1/1.56"", 1.0µm, AF__2 MP, f/2.4, (monochrome)","Hasselblad Color Calibration, color spectrum sensor, dual-LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Po 4500 mAh,"65W wired, PD, 100% in 29 min__15W wireless (EU/NA)",,"Winter Mist, Arctic Sky, Astral Black","LE2113, LE2111, LE2110, LE2117, LE2115",,,"€ 228.72 / $ 159.39 / £ 152.00 / ₹ 17,399",,Endurance rating 87h,"4,758,529 hits",4.3
2,Xiaomi Mi 11,True,True,True,True,"2020, December 28","Available. Released 2021, January 01",164.3 x 74.6 x 8.1 mm (Glass) / 8.6 mm (Leather),196 g (Glass) / 194 g (Leather) (6.84 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 5) or eco leather back, aluminum frame",Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 120Hz, HDR10+, 1500 nits (peak)","6.81 inches, 112.0 cm2 (~91.4% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~515 ppi density)",Corning Gorilla Glass Victus,,"Android 11, upgradable to Android 14, HyperOS",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55,Adreno 660,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.9, 26mm (wide), 1/1.33"", 0.8µm, PDAF, OIS__13 MP, f/2.4, 123˚ (ultrawide), 1/3.06"", 1.12µm__5 MP, f/2.4, (macro), 1/5.0"", 1.12µm","Dual-LED dual-tone flash, HDR, panorama","8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, HDR10+","20 MP, f/2.2, 27mm (wide), 1/3.4"", 0.8µm",HDR,"1080p@30/60fps, 720p@120fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass",Li-Po 4600 mAh,"55W wired, PD3.0, QC4, 100% in 45 min__50W wireless, 100% in 53 min__10W reverse wireless",,"Horizon Blue, Cloud White, Midnight Gray, Special Edition Blue, Gold, Violet","M2011K2C, M2011K2G",0.95 W/kg (head) 0.65 W/kg (body) ,0.56 W/kg (head) 0.98 W/kg (body) ,€ 199.90 / $ 189.46 / £ 234.99,__AnTuTu: 668722 (v8)__GeekBench: 3489 (v5.1)__GFXBench: 33fps (ES 3.1 onscreen),Endurance rating 89h,"6,973,625 hits",4.3
3,Samsung Galaxy S21 FE 5G,True,True,True,True,"2022, January 04","Available. Released 2022, January 07",155.7 x 74.5 x 7.9 mm (6.13 x 2.93 x 0.31 in),177 g (6.24 oz),"Glass front (Gorilla Glass Victus), plastic back, aluminum frame",Nano-SIMNano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min),"Dynamic AMOLED 2X, 120Hz, HDR10+","6.4 inches, 100.5 cm2 (~86.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 12, up to 4 major Android upgrades, One UI 6.1",Qualcomm SM8350 Snapdragon 888 5G (5 nm) - Version 1Exynos 2100 (5 nm) - Version 2,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55) - Version 1Octa-core (1x2.9 GHz Cortex-X1 & 3x2.80 GHz Cortex-A78 & 4x2.2 GHz Cortex-A55) - Version 2,Adreno 660 - Version 1Mali-G78 MP14 - Version 2,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS__8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom__12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","LED flash, auto-HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm",HDR,"4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO",Yes,Unspecified,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Li-Ion 4500 mAh,"25W wired, PD3.0, 50% in 30 min__15W wireless__Reverse wireless",,"White, Graphite, Lavender, Olive","SM-G990B, SM-G990B/DS, SM-G990U, SM-G990U1, SM-G990W, SM-G990E, SM-G9900, SM-G990B2, SM-G990U2, SM-G990W2, SM-G990U3",0.77 W/kg (head) 0.90 W/kg (body) ,0.95 W/kg (head) 1.48 W/kg (body) ,"€ 324.99 / $ 149.60 / £ 179.00 / ₹ 22,999","__AnTuTu: 566529 (v8), 719696 (v9)__GeekBench: 3049 (v5.1)__GFXBench: 56fps (ES 3.1 onscreen)",Endurance rating 92h,"14,841,673 hits",4.2
4,Samsung Galaxy S21 Ultra 5G,True,True,True,True,"2021, January 14","Available. Released 2021, January 29",165.1 x 75.6 x 8.9 mm (6.5 x 2.98 x 0.35 in),"227 g (Sub6), 229 g (mmWave) (8.01 oz)","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68 dust/water resistant (up to 1.5m for 30 min)__Stylus support,"Dynamic AMOLED 2X, 120Hz, HDR10+, 1500 nits (peak)","6.8 inches, 112.1 cm2 (~89.8% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~515 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 11, up to 4 major Android upgrades, One UI 6.1",Exynos 2100 (5 nm) - InternationalQualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China,Octa-core (1x2.9 GHz Cortex-X1 & 3x2.80 GHz Cortex-A78 & 4x2.2 GHz Cortex-A55) - InternationalOcta-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55) - USA/China,Mali-G78 MP14 - InternationalAdreno 660 - USA/China,No,"128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","108 MP, f/1.8, 24mm (wide), 1/1.33"", 0.8µm, PDAF, OIS__10 MP, f/2.4, 72mm (telephoto), 1/3.24"", 1.22µm, dual pixel PDAF, OIS, 3x optical zoom__10 MP, f/4.9, 240mm (periscope telephoto), 1/3.24"", 1.22µm, dual pixel PDAF, OIS, 10x optical zoom__12 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","Laser AF, LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS","40 MP, f/2.2, 26mm (wide), 1/2.8"", 0.7µm, PDAF",HDR,"4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GLONASS, BDS, GALILEO",Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",Li-Ion 5000 mAh,"25W wired, PD3.0__15W wireless (Qi/PMA)__4.5W reverse wireless",,"Phantom Black, Phantom Silver, Phantom Titanium, Phantom Navy, Phantom Brown, Navy","SM-G998B, SM-G998B/DS, SM-G998U, SM-G998U1, SM-G998W, SM-G998N, SM-G9980",0.77 W/kg (head) 1.02 W/kg (body) ,0.71 W/kg (head) 1.58 W/kg (body) ,€ 457.01 / $ 253.00 / £ 249.99,__AnTuTu: 657150 (v8)__GeekBench: 3518 (v5.1)__GFXBench: 33fps (ES 3.1 onscreen),Endurance rating 114h,"18,967,649 hits",4.6
5,Samsung Galaxy S21+ 5G,True,True,True,True,"2021, January 14","Available. Released 2021, January 29",161.5 x 75.6 x 7.8 mm (6.36 x 2.98 x 0.31 in),"200 g (Sub6), 202 g (mmWave) (7.05 oz)","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68 dust/water resistant (up to 1.5m for 30 min),"Dynamic AMOLED 2X, 120Hz, HDR10+, 1300 nits (peak)","6.7 inches, 107.8 cm2 (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 11, up to 4 major Android upgrades, One UI 6.1",Exynos 2100 (5 nm) - InternationalQualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China,Octa-core (1x2.9 GHz Cortex-X1 & 3x2.80 GHz Cortex-A78 & 4x2.2 GHz Cortex-A55) - InternationalOcta-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55) - USA/China,Mali-G78 MP14 - InternationalAdreno 660 - USA/China,No,"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS__64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom__12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS","10 MP, f/2.2, 26mm (wide), 1/3.24"", 1.22µm, dual pixel PDAF",HDR,"4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO",Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",Li-Ion 4800 mAh,"25W wired, PD3.0__15W wireless (Qi/PMA)__4.5W reverse wireless",,"Phantom Black, Phantom Silver, Phantom Violet, Phantom Pink, Phantom Gold, Phantom Red","SM-G996B, SM-G996B/DS, SM-G996U, SM-G996U1, SM-G996W, SM-G996N, SM-G9960",0.65 W/kg (head) 0.95 W/kg (body) ,0.54 W/kg (head) 1.33 W/kg (body) ,"€ 306.42 / $ 224.78 / £ 217.50 / ₹ 29,499",__AnTuTu: 622276 (v8)__GeekBench: 3476 (v5.1)__GFXBench: 54fps (ES 3.1 onscreen),Endurance rating 114h,"6,611,517 hits",4.2
6,Samsung Galaxy S21 5G,True,True,True,True,"2021, January 14","Available. Released 2021, January 29",151.7 x 71.2 x 7.9 mm (5.97 x 2.80 x 0.31 in),"169 g (Sub6), 171 g (mmWave) (5.96 oz)","Glass front (Gorilla Glass Victus), plastic back, aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68 dust/water resistant (up to 1.5m for 30 min),"Dynamic AMOLED 2X, 120Hz, HDR10+, 1300 nits (peak)","6.2 inches, 94.1 cm2 (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~421 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 11, up to 4 major Android upgrades, One UI 6.1",Exynos 2100 (5 nm) - InternationalQualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China,Octa-core (1x2.9 GHz Cortex-X1 & 3x2.80 GHz Cortex-A78 & 4x2.2 GHz Cortex-A55) - InternationalOcta-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55) - USA/China,Mali-G78 MP14 - InternationalAdreno 660 - USA/China,No,"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS__64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom__12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS","10 MP, f/2.2, 26mm (wide), 1/3.24"", 1.22µm, dual pixel PDAF",HDR,"4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO",Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",Li-Ion 4000 mAh,"25W wired, PD3.0__15W wireless (Qi/PMA)__4.5W reverse wireless",,"Phantom Gray, Phantom White, Phantom Violet, Phantom Pink","SM-G991B, SM-G991B/DS, SM-G991U, SM-G991U1, SM-G991W, SM-G991N, SM-G9910, SM-G991Q, SCG09",0.74 W/kg (head) 1.08 W/kg (body) ,0.46 W/kg (head) 1.51 W/kg (body) ,€ 270.93 / $ 189.99 / £ 196.13,__AnTuTu: 584055 (v8)__GeekBench: 3238 (v5.1)__GFXBench: 60fps (ES 3.1 onscreen),Endurance rating 93h,"13,761,681 hits",4.2
7,Asus ROG Phone 9 Pro,True,True,True,True,"2024, November 19","Available. Released 2024, November 20",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),227 g (8.01 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",Nano-SIM + eSIMNano-SIM + Nano-SIM,IP68 dust/water resistant (up to 1.5m for 30 min)__Mini-LED (648 dots) programmable matrix (on the back)__Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2 (~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass Victus 2,Always-On display,"Android 15, up to 2 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"512GB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS__32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom__13 MP, f/2.2, 13mm, 120˚ (ultrawide)","LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+","32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","Panorama, HDR",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5800 mAh,"65W wired, PD3.0, PPS, QC5, 100% in 46 min__15W wireless (Qi)__10W reverse wired",,Phantom Black,,,,About 1300 EUR,__AnTuTu: 3042971 (v10)__GeekBench: 10179 (v6)__3DMark: 6718 (Wild Life Extreme),,"492,926 hits",4.5
8,Asus Zenfone 7,True,True,True,True,"2020, August 26","Available. Released 2020, September 01",165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in),230 g (8.11 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame",Nano-SIM + Nano-SIM,,"Super AMOLED, 90Hz, HDR10+, 700 nits (HBM)","6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Corning Gorilla Glass 6,,"Android 10, upgradable to Android 12, ZenUI",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF__8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom__12 MP, f/2.2, 113˚, 17mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF","Dual-LED flash, HDR, auto panorama (motorized rotation)","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR",Motorized flip-up main camera module,"Dual-LED flash, HDR, auto panorama (motorized rotation)","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX Adaptive","GPS (L1+L5), GLONASS (L1), BDS (B1+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,USB Type-C,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Li-Po 5000 mAh,"30W wired, PD3.0, 60% in 34 min, 100% in 93 min__Reverse wired",,"Aurora Black, Pastel White","ZS670KS, ASUS_I002D, I002D",,,About 910 EUR,,,"864,653 hits",
9,Asus Zenfone 4 Selfie ZB553KL,True,True,True,False,"2017, September","Available. Released 2017, November",155.7 x 75.9 x 7.9 mm (6.13 x 2.99 x 0.31 in),144 g (5.08 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,"Android 7.0 (Nougat), upgradable to Android 8.1 (Oreo), ZenUI 5",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, PDAF","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, EDR, LE","GPS, GLONASS, BDS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",,,"Deepsea Black, Rose Pink, Sunlight Gold",X00LDB,,,About 150 EUR,,,"345,840 hits",
10,Asus Zenfone Go ZB450KL,True,True,True,False,"2016, July. Released 2016, August",Discontinued,136.5 x 66.7 x 11.2 mm (5.37 x 2.63 x 0.44 in),135 g (4.76 oz),,Nano-SIM + Micro-SIM,,IPS LCD,"4.5 inches, 55.8 cm2 (~61.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,"Android 6 (Marshmallow), ZenUI 2",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (uses shared SIM slot),8GB 1GB RAM,"8 MP, f/2.0, AF","LED flash, HDR, panorama",720p,"2 MP, f/2.4",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, EDR","GPS, GLONASS, BDS",No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2070 mAh, removable",,,"Glacier Grey/Silver, Blue/Sheer Gold, Charcoal Black, Pearl White, Glamor Red, Lemon Yellow",X009DA,,,About 110 EUR,,,"717,987 hits",
11,Asus Pegasus,True,True,True,False,"2014, December. Released 2015, May",Discontinued,146 x 73 x 9.9 mm (5.75 x 2.87 x 0.39 in),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.0 inches, 68.9 cm2 (~64.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Android 4.4 (KitKat),Mediatek MT6732 (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T760MP2,microSDHC (dedicated slot),"8GB 2GB RAM, 16GB 2GB RAM","8 MP, f/2.0, AF","LED flash, panorama",Yes,"5 MP, f/2.2",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2500 mAh, removable",,Up to 17 h 40 min (3G),"Black, White, Red, Gold",X003,,,About 80 EUR,,,"1,278,981 hits",
12,Asus P550,True,True,False,False,"2007, December. Released 2008",Discontinued,121 x 70 x 16.5 mm (4.76 x 2.76 x 0.65 in),188 g (6.63 oz),,Mini-SIM,,"TFT resistive touchscreen, 65K colors","3.5 inches, 37.9 cm2 (~44.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",,,Microsoft Windows Mobile 6.0 Professional,,Marvell PXA270M 520 MHz,,"miniSD, miniSDHC",256MB 64MB RAM,2 MP,,Yes,No,,,No,No,Wi-Fi 802.11 b/g,2.0,"GPS, SiRF Star III chipset",,No,1.1,,Removable Li-Ion 1530 mAh battery,,Up to 5 h,Silver,,,,About 220 EUR,,,"326,692 hits",
